Name,Bats,MLB,Age,G,PA,AB,H,D,T,HR,R,RBI,K,BB,SB,CS,GDP,HBP,SH,SF,RC,Pos,AVG,OBP,SLG,OPS,WOBA,WAR
Aaron Judge,R,NYY,32,158,704,559,180,36,1,58,122,144,171,133,10,0,22,9,0,2,183.482,897,0.322,0.458,0.701,1.159,0.476,11.2061
Bobby Witt Jr.,R,KCR,24,161,709,636,211,45,11,32,125,109,106,57,31,12,4,8,0,8,149.927,6,0.332,0.389,0.588,0.977,0.41,10.3576
Shohei Ohtani,L,LAD,29,159,731,636,197,38,7,54,134,130,162,81,59,4,7,6,0,5,174.112,,0.31,0.39,0.646,1.036,0.431,9.0749
Juan Soto,L,NYY,25,157,713,576,166,31,4,41,128,109,119,129,7,4,10,4,0,4,147.009,97,0.288,0.419,0.569,0.988,0.421,8.1493
Gunnar Henderson,L,BAL,23,159,719,630,177,31,7,37,118,92,159,78,21,4,2,7,0,4,130.969,6,0.281,0.364,0.529,0.893,0.381,8.0134
Francisco Lindor,B,NYM,30,151,689,618,169,39,1,33,105,88,127,56,29,4,7,12,0,3,112.613,6,0.273,0.344,0.5,0.844,0.363,7.6047
Jarren Duran,L,BOS,27,160,735,671,191,48,14,21,111,75,160,54,34,7,6,6,1,3,118.223,87,0.285,0.342,0.492,0.834,0.357,6.7157
Jose Ramirez,B,CLE,31,158,682,620,173,39,2,39,114,118,82,54,41,7,9,1,0,6,114.754,5,0.279,0.335,0.537,0.872,0.364,6.4699
Elly De La Cruz,B,CIN,22,160,696,618,160,36,10,25,105,76,218,69,67,16,12,6,2,1,103.018,6,0.259,0.339,0.471,0.81,0.349,6.35
Ketel Marte,B,ARI,30,136,583,504,147,23,2,36,93,95,106,65,7,1,9,5,0,9,108.897,4,0.292,0.372,0.56,0.932,0.391,6.2729
Vladimir Guerrero Jr.,R,TOR,25,159,697,616,199,44,1,30,98,103,96,72,2,2,16,5,0,4,131.413,35,0.323,0.396,0.544,0.94,0.398,5.4591
Matt Chapman,R,SFG,31,154,647,575,142,39,2,27,98,78,158,64,15,2,13,6,0,2,88.988,5,0.247,0.328,0.463,0.791,0.34,5.4501
Cal Raleigh,B,SEA,27,153,628,546,120,16,0,34,73,100,176,70,6,1,7,6,0,6,78.721,2,0.22,0.312,0.436,0.748,0.323,5.4261
William Contreras,R,MIL,26,155,679,595,167,37,2,23,99,92,139,78,9,2,19,3,0,3,101.297,2,0.281,0.365,0.466,0.831,0.359,5.4222
Jackson Merrill,L,SDP,21,156,593,554,162,31,6,24,77,90,101,29,16,3,2,1,4,5,93.828,8,0.292,0.326,0.5,0.826,0.352,5.267
Yordan Alvarez,L,HOU,27,147,635,552,170,34,2,35,88,86,95,69,6,0,14,10,0,4,123.821,7,0.308,0.392,0.567,0.959,0.402,5.2591
Bryce Harper,L,PHI,31,145,631,550,157,42,0,30,85,87,138,76,7,4,18,2,1,2,105.19,3,0.285,0.373,0.525,0.898,0.38,5.1829
Brent Rooker,R,OAK,29,145,614,546,160,26,2,39,82,112,177,59,11,3,5,5,0,4,116.232,79,0.293,0.365,0.562,0.927,0.392,5.1045
Marcell Ozuna,R,ATL,33,160,688,606,183,31,0,39,96,102,170,74,1,0,22,3,0,4,122.326,,0.302,0.378,0.546,0.924,0.394,4.769
Willy Adames,R,MIL,28,161,688,610,153,33,0,32,93,112,173,74,21,4,12,1,0,3,96.509,6,0.251,0.331,0.462,0.793,0.342,4.7201
Corey Seager,L,TEX,30,123,533,475,132,21,0,30,68,74,96,53,1,1,8,3,0,2,86.061,6,0.278,0.353,0.512,0.865,0.365,4.5312
Mookie Betts,R,LAD,31,116,516,450,130,24,5,19,75,75,57,61,16,2,10,1,0,4,86.163,694,0.289,0.372,0.491,0.863,0.371,4.382
Patrick Bailey,B,SFG,25,121,448,401,94,16,1,8,46,46,100,39,4,0,10,0,1,7,41.836,2,0.234,0.298,0.339,0.637,0.281,4.3387
Dansby Swanson,R,CHC,30,149,593,534,129,27,2,16,82,66,144,54,19,3,7,2,0,3,68.902,6,0.242,0.312,0.39,0.702,0.307,4.3352
Jurickson Profar,B,SDP,31,158,668,564,158,29,0,24,94,85,101,76,10,3,14,18,5,5,103.006,73,0.28,0.38,0.459,0.839,0.365,4.2961
Carlos Correa,R,MIN,29,86,367,319,99,20,2,14,55,54,61,40,0,0,5,3,0,4,66.336,6,0.31,0.388,0.517,0.905,0.385,4.2702
Kyle Tucker,L,HOU,27,78,339,277,80,13,0,23,56,49,54,56,11,0,5,1,0,2,71.814,9,0.289,0.408,0.585,0.993,0.419,4.1885
Marcus Semien,R,TEX,33,159,718,650,154,27,2,23,101,74,105,64,8,3,9,3,0,1,80.218,4,0.237,0.308,0.391,0.699,0.306,4.1678
Steven Kwan,L,CLE,26,122,540,480,140,16,3,14,83,44,51,53,12,5,5,5,2,0,78.807,7,0.292,0.368,0.425,0.793,0.349,4.1426
Rafael Devers,L,BOS,27,138,601,525,143,34,5,28,87,83,147,67,3,0,13,3,0,6,96.586,5,0.272,0.354,0.516,0.87,0.364,4.128
Alex Bregman,R,HOU,30,145,634,581,151,30,2,26,79,75,86,44,3,1,13,5,0,4,81.887,5,0.26,0.315,0.453,0.768,0.331,4.1264
Freddie Freeman,L,LAD,34,147,638,542,153,35,2,22,81,89,100,78,9,2,13,10,0,8,101.799,3,0.282,0.378,0.476,0.854,0.365,4.0467
Corbin Carroll,L,ARI,23,158,684,589,136,22,14,22,121,74,130,73,35,8,3,10,3,9,90.626,89,0.231,0.322,0.428,0.75,0.325,4.0416
Colton Cowser,L,BAL,24,153,561,499,121,24,3,24,77,69,172,52,9,4,9,7,0,3,72.652,789,0.242,0.321,0.447,0.768,0.331,4.0193
Riley Greene,L,DET,23,137,584,512,134,27,6,24,82,74,156,64,4,2,2,5,0,2,90.55,789,0.262,0.348,0.479,0.827,0.355,3.998
Jazz Chisholm Jr.,L,- - -,26,147,621,562,144,21,4,24,74,73,152,53,40,10,6,4,0,2,83.521,854,0.256,0.324,0.436,0.76,0.327,3.9899
Trea Turner,R,PHI,31,121,539,505,149,25,0,21,88,62,98,27,19,4,10,6,0,1,79.786,6,0.295,0.338,0.469,0.807,0.349,3.9392
Jackson Chourio,R,MIL,20,148,573,528,145,29,4,21,80,79,121,39,22,7,7,3,1,2,80.878,79,0.275,0.327,0.464,0.791,0.339,3.9359
Jose Altuve,R,HOU,34,153,682,628,185,31,0,20,94,65,119,47,22,7,15,7,0,0,95.76,4,0.295,0.35,0.439,0.789,0.344,3.9353
Nico Hoerner,R,CHC,27,151,641,582,159,35,1,7,86,48,66,44,31,6,8,12,0,3,78.073,46,0.273,0.335,0.373,0.708,0.313,3.9224
Julio Rodriguez,R,SEA,23,143,613,567,155,17,0,20,76,68,156,38,24,5,10,6,0,2,77.052,8,0.273,0.325,0.409,0.734,0.321,3.8248
Eugenio Suarez,R,ARI,32,158,640,571,146,28,2,30,90,101,176,49,2,1,10,9,0,11,87.405,5,0.256,0.319,0.469,0.788,0.337,3.7801
Brenton Doyle,R,COL,26,149,603,542,141,24,4,23,82,72,153,46,30,5,13,3,4,8,78.818,8,0.26,0.317,0.446,0.763,0.328,3.6799
Byron Buxton,R,MIN,30,102,388,355,99,27,3,18,62,56,99,20,7,2,3,11,0,2,63.943,8,0.279,0.335,0.524,0.859,0.366,3.6719
Ezequiel Tovar,R,COL,22,157,695,655,176,45,4,26,83,78,200,23,6,5,16,4,5,7,84.738,6,0.269,0.295,0.469,0.764,0.324,3.6307
Ian Happ,B,CHC,29,153,657,569,138,34,2,25,89,86,168,80,13,2,7,6,0,2,91.923,7,0.243,0.341,0.441,0.782,0.341,3.5882
Masyn Winn,R,STL,22,150,637,587,157,32,5,15,85,57,109,41,11,5,1,1,3,5,80.151,6,0.267,0.314,0.416,0.73,0.315,3.5618
Manny Machado,R,SDP,31,152,643,593,163,30,0,29,77,105,124,45,11,2,25,1,0,4,84.405,5,0.275,0.325,0.472,0.797,0.34,3.5582
Seiya Suzuki,R,CHC,29,132,585,512,145,27,6,21,74,73,160,63,16,6,6,6,0,4,94.805,97,0.283,0.366,0.482,0.848,0.365,3.5542
Oneil Cruz,L,PIT,25,146,599,541,140,34,3,21,72,76,181,51,22,1,8,3,0,4,83.16,68,0.259,0.324,0.449,0.773,0.331,3.5058
Alec Bohm,R,PHI,27,143,606,554,155,44,2,15,62,97,86,40,5,2,18,6,0,6,79.198,53,0.28,0.332,0.448,0.78,0.335,3.4902
Teoscar Hernandez,R,LAD,31,154,652,589,160,32,2,33,84,99,188,53,12,3,7,8,0,1,102.693,79,0.272,0.339,0.501,0.84,0.36,3.4787
Zach Neto,R,LAA,23,155,602,542,135,34,1,23,70,77,140,39,30,10,14,16,4,1,75.07,6,0.249,0.318,0.443,0.761,0.33,3.4716
Austin Wells,L,NYY,24,115,414,354,81,18,1,13,42,55,87,47,1,2,9,5,1,7,46.619,2,0.229,0.322,0.395,0.717,0.315,3.4442
Kyle Schwarber,L,PHI,31,150,692,573,142,22,0,38,110,104,197,106,5,3,6,5,0,8,110.216,7,0.248,0.366,0.485,0.851,0.366,3.4201
Anthony Volpe,R,NYY,23,160,689,637,155,27,7,12,90,60,156,42,28,7,9,4,2,3,70.144,6,0.243,0.293,0.364,0.657,0.287,3.3825
Isaac Paredes,R,- - -,25,153,641,542,129,25,1,19,64,80,105,76,1,1,17,17,0,6,76.476,53,0.238,0.346,0.393,0.739,0.327,3.3582
Anthony Santander,B,BAL,29,155,665,595,140,25,2,44,91,102,129,58,2,0,9,7,0,5,94.54,9,0.235,0.308,0.506,0.814,0.345,3.3278
Daulton Varsho,L,TOR,27,136,513,459,98,21,7,18,73,58,137,48,10,2,2,4,1,1,58.77,879,0.214,0.293,0.407,0.7,0.304,3.303
Brendan Donovan,L,STL,27,153,652,587,163,34,3,14,65,73,81,47,5,5,4,13,0,5,87.241,745,0.278,0.342,0.417,0.759,0.332,3.2473
Fernando Tatis Jr.,R,SDP,25,102,438,398,110,21,1,21,64,49,96,32,11,3,8,7,0,1,66.914,9,0.276,0.34,0.492,0.832,0.359,3.2333
Lawrence Butler,L,OAK,23,125,451,412,108,24,2,22,63,57,108,35,18,0,8,0,0,4,66.614,9,0.262,0.317,0.49,0.807,0.345,3.2321
Salvador Perez,R,KCR,34,158,652,590,160,28,0,27,58,104,129,44,0,0,17,11,0,6,86.402,23,0.271,0.33,0.456,0.786,0.335,3.1605
Nolan Arenado,R,STL,33,152,635,578,157,23,0,16,70,71,92,44,2,2,15,5,0,7,73.006,5,0.272,0.325,0.394,0.719,0.314,3.1339
Joey Ortiz,R,MIL,25,142,511,440,105,25,6,11,58,60,103,56,11,6,10,6,3,6,59.549,564,0.239,0.329,0.398,0.727,0.319,3.1305
J.J. Bleday,L,OAK,26,159,642,572,139,43,4,20,74,60,125,67,2,3,8,2,1,0,82.537,8,0.243,0.324,0.437,0.761,0.33,3.1263
Victor Robles,R,- - -,27,91,295,254,78,20,0,4,44,28,53,21,34,2,2,11,6,3,50.549,897,0.307,0.381,0.433,0.814,0.357,3.0936
Willi Castro,B,MIN,27,158,635,558,138,31,5,12,89,60,150,51,14,9,8,21,1,4,74.039,64785,0.247,0.331,0.385,0.716,0.317,3.0913
Mark Vientos,R,NYM,24,110,454,413,110,22,0,27,58,70,135,33,0,0,6,3,0,4,69.363,53,0.266,0.322,0.516,0.838,0.356,3.086
Luis Garcia,L,WSN,24,140,528,500,141,25,1,18,58,70,86,27,22,5,12,0,0,1,68.768,4,0.282,0.318,0.444,0.762,0.328,3.082
Wilyer Abreu,L,BOS,25,132,447,399,101,33,2,15,59,58,125,40,8,3,7,3,0,5,60.237,97,0.253,0.322,0.459,0.781,0.336,3.0454
Yainer Diaz,R,HOU,25,148,619,585,175,29,3,16,70,84,107,24,2,0,22,2,0,8,77.991,23,0.299,0.325,0.441,0.766,0.329,3.0437
Carlos Santana,B,MIN,38,150,594,521,124,26,0,23,63,71,99,65,4,0,11,6,0,2,74.281,3,0.238,0.328,0.42,0.748,0.326,3.0273
Jake McCarthy,L,ARI,26,142,495,442,126,13,7,8,66,56,78,31,25,6,4,14,5,3,66.872,897,0.285,0.349,0.4,0.749,0.329,3.0186
Christian Yelich,L,MIL,32,73,315,270,85,12,3,11,44,42,58,40,21,1,3,2,1,1,61.931,7,0.315,0.406,0.504,0.91,0.391,3.0117
Tyler Stephenson,R,CIN,27,138,515,457,118,26,1,19,69,66,117,48,1,0,9,8,0,2,70.037,2,0.258,0.338,0.444,0.782,0.339,3.0101
Tyler Fitzgerald,R,SFG,26,96,341,314,88,19,2,15,53,34,108,22,17,4,2,4,0,1,54.513,68473,0.28,0.334,0.497,0.831,0.357,2.9796
Joc Pederson,L,ARI,32,132,449,367,101,17,1,23,62,64,105,55,7,4,5,18,1,3,79.222,,0.275,0.393,0.515,0.908,0.391,2.961
Christian Walker,R,ARI,33,130,552,479,120,26,0,26,72,84,133,55,2,2,12,10,0,8,75.915,3,0.251,0.335,0.468,0.803,0.343,2.9336
Josh H. Smith,L,TEX,26,149,592,523,135,30,1,13,67,62,121,46,11,2,6,18,2,3,74.432,5679,0.258,0.337,0.394,0.731,0.323,2.9206
Adley Rutschman,B,BAL,26,148,638,571,143,21,1,19,68,79,103,58,1,0,9,2,0,7,73.58,2,0.25,0.318,0.391,0.709,0.309,2.8626
Wyatt Langford,R,TEX,22,134,557,499,126,25,4,16,74,74,115,51,19,3,6,4,0,3,71.629,78,0.253,0.325,0.415,0.74,0.321,2.8492
Miguel Rojas,R,LAD,35,103,337,307,87,21,0,6,41,36,34,23,8,2,8,3,2,2,42.484,645,0.283,0.337,0.41,0.747,0.327,2.8155
Alejandro Kirk,R,TOR,25,103,386,340,86,19,1,5,23,54,51,35,0,0,11,2,0,9,39.473,2,0.253,0.319,0.359,0.678,0.297,2.797
Jonathan India,R,CIN,27,151,637,533,132,28,2,15,84,58,125,80,13,2,16,15,2,7,80.431,4,0.248,0.357,0.392,0.749,0.333,2.7834
Jeremy Pena,R,HOU,26,157,650,602,160,28,2,15,78,70,111,25,20,6,15,14,3,6,71.737,6,0.266,0.308,0.394,0.702,0.305,2.774
Andres Gimenez,L,CLE,25,152,633,583,147,22,1,9,64,63,97,26,30,5,11,15,3,6,62.137,4,0.252,0.298,0.34,0.638,0.281,2.7631
Jordan Westburg,R,BAL,25,107,447,416,110,26,5,18,57,63,97,22,6,3,5,7,1,1,62.042,546,0.264,0.312,0.481,0.793,0.34,2.7502
Nathaniel Lowe,L,TEX,28,140,565,486,129,16,1,16,62,69,125,71,2,0,9,4,0,4,75.018,3,0.265,0.361,0.401,0.762,0.337,2.7408
Taylor Ward,R,LAA,30,156,663,585,144,26,2,25,73,75,163,63,6,4,11,7,0,8,82.385,7,0.246,0.323,0.426,0.749,0.325,2.7242
Jacob Young,R,WSN,24,150,521,468,120,24,1,3,75,36,102,30,33,10,11,12,9,2,51.096,8,0.256,0.316,0.331,0.647,0.29,2.7178
Pete Crow-Armstrong,L,CHC,22,123,410,372,88,13,6,10,46,47,98,21,27,3,4,6,8,3,44.586,8,0.237,0.286,0.384,0.67,0.289,2.7153
Will Smith,R,LAD,29,128,544,476,118,24,2,20,77,75,105,51,1,1,8,9,0,8,69.812,2,0.248,0.327,0.433,0.76,0.326,2.7057
Brandon Nimmo,L,NYM,31,149,663,571,128,25,3,23,87,88,158,77,15,0,6,12,0,3,82.821,78,0.224,0.327,0.399,0.726,0.321,2.6861
Willson Contreras,R,STL,32,84,358,301,79,17,0,15,48,36,96,45,4,1,7,12,0,0,56.27,2,0.262,0.38,0.468,0.848,0.37,2.6425
Ha-seong Kim,R,SDP,28,121,470,403,94,16,3,11,60,47,77,58,22,5,8,2,4,3,53.592,6,0.233,0.33,0.37,0.7,0.308,2.6389
Matt Olson,L,ATL,30,160,685,600,148,37,1,29,78,98,170,71,0,0,15,9,0,5,92.072,3,0.247,0.333,0.457,0.79,0.339,2.6044
Jose Iglesias,R,NYM,34,83,291,270,91,16,1,4,38,25,39,12,5,2,4,8,0,1,46.568,456,0.337,0.381,0.448,0.829,0.362,2.5745
Matt Vierling,R,DET,27,144,567,518,133,28,5,16,80,57,121,41,6,1,9,3,0,5,69.48,8597,0.257,0.312,0.423,0.735,0.317,2.5741
Gabriel Moreno,R,ARI,24,97,351,305,81,18,1,5,39,45,52,41,3,1,10,2,0,3,41.865,2,0.266,0.353,0.38,0.733,0.325,2.5058
Tyler O'Neill,R,BOS,29,113,473,411,99,18,0,31,74,61,159,53,4,0,13,7,0,2,70.197,79,0.241,0.336,0.511,0.847,0.36,2.495
Otto Lopez,R,MIA,25,117,434,403,109,23,1,6,49,39,75,25,20,4,13,1,2,2,46.666,4657,0.27,0.313,0.377,0.69,0.302,2.4929
Brice Turang,L,MIL,24,155,619,559,142,24,4,7,72,57,105,50,50,6,8,2,5,3,69.331,4,0.254,0.316,0.349,0.665,0.294,2.4894
Michael Busch,L,CHC,26,152,567,496,123,28,2,21,73,65,162,63,2,1,9,4,0,4,75.644,34,0.248,0.335,0.44,0.775,0.336,2.3826
Dylan Moore,R,SEA,31,135,441,368,74,23,4,10,53,42,123,53,32,6,8,14,1,5,49.51,65473,0.201,0.32,0.367,0.687,0.306,2.377
Brandon Marsh,L,PHI,26,135,476,418,104,17,3,16,55,60,154,50,19,3,2,2,1,5,63.928,789,0.249,0.328,0.419,0.747,0.326,2.371
Austin Riley,R,ATL,27,110,469,425,109,26,2,19,63,56,118,37,0,0,6,5,0,2,64.295,5,0.256,0.322,0.461,0.783,0.338,2.3684
Kerry Carpenter,L,DET,26,87,296,264,75,16,5,18,37,57,75,22,0,2,5,4,0,3,52.313,97,0.284,0.345,0.587,0.932,0.39,2.3583
Max Muncy,L,LAD,33,73,293,237,55,17,0,15,47,48,77,45,1,0,1,5,0,6,47.158,5,0.232,0.358,0.494,0.852,0.362,2.3289
Cedric Mullins,L,BAL,29,147,499,444,104,16,3,18,69,54,98,41,32,6,1,5,2,2,60.986,8,0.234,0.305,0.405,0.71,0.31,2.3037
Luke Raley,L,SEA,29,137,455,404,98,19,2,22,58,58,135,27,11,2,2,20,2,2,64.153,7398,0.243,0.32,0.463,0.783,0.339,2.2752
Heliot Ramos,R,SFG,24,121,518,475,128,23,3,22,54,72,135,37,6,1,12,2,0,4,70.703,879,0.269,0.322,0.469,0.791,0.339,2.2581
Josh Naylor,L,CLE,27,152,633,563,137,27,0,31,84,108,105,58,6,2,17,7,0,4,80.288,3,0.243,0.32,0.456,0.776,0.332,2.2572
Jake Rogers,R,DET,29,102,337,310,61,16,1,10,43,36,99,22,1,0,6,3,0,2,27.727,2,0.197,0.255,0.352,0.607,0.264,2.2517
Brandon Lowe,L,TBR,29,107,425,385,94,19,3,21,56,58,112,33,5,1,7,5,0,2,56.894,43,0.244,0.311,0.473,0.784,0.335,2.2496
Cody Bellinger,L,CHC,28,130,569,516,137,23,3,18,72,78,89,45,9,2,10,3,0,5,72.344,893,0.266,0.325,0.426,0.751,0.322,2.2108
Pete Alonso,R,NYM,29,160,695,608,146,31,0,34,91,88,172,70,3,0,14,13,0,4,93.789,3,0.24,0.329,0.459,0.788,0.34,2.1946
Ernie Clement,R,TOR,28,139,452,434,114,21,3,12,48,51,41,11,12,3,11,3,2,2,47.592,564,0.263,0.284,0.408,0.692,0.297,2.1856
Lourdes Gurriel Jr.,R,ARI,30,133,553,513,143,22,2,18,72,75,101,29,7,1,16,6,0,5,69.314,7,0.279,0.322,0.435,0.757,0.327,2.1606
Parker Meadows,L,DET,24,82,298,270,66,12,6,9,39,28,76,25,9,4,0,1,1,1,38.236,8,0.244,0.31,0.433,0.743,0.321,2.1575
Xavier Edwards,B,MIA,24,70,303,265,87,12,5,1,39,26,52,33,31,4,0,0,1,4,53.23,64,0.328,0.397,0.423,0.82,0.359,2.1569
Bryan Reynolds,B,PIT,29,156,692,622,171,29,3,24,73,88,156,57,10,2,7,10,0,3,99.741,79,0.275,0.344,0.447,0.791,0.343,2.1427
Logan O'Hoppe,R,LAA,24,136,522,479,117,17,1,20,64,56,155,33,2,3,7,8,1,1,59.183,2,0.244,0.303,0.409,0.712,0.311,2.1229
Ivan Herrera,R,STL,24,72,259,229,69,12,1,5,37,27,53,25,5,0,3,2,0,2,39.168,2,0.301,0.372,0.428,0.8,0.351,2.118
Matt Wallner,L,MIN,26,75,261,220,57,17,1,13,26,37,95,24,3,0,2,16,0,1,46.401,97,0.259,0.372,0.523,0.895,0.385,2.0895
Jake Cronenworth,L,SDP,30,155,656,577,139,29,3,17,72,83,118,61,5,2,19,11,1,3,72.276,34,0.241,0.324,0.39,0.714,0.315,2.0756
Jose Caballero,R,TBR,27,139,483,441,100,24,1,9,53,44,133,27,44,16,6,9,3,3,44.396,654,0.227,0.283,0.347,0.63,0.277,2.0594
Isiah Kiner-Falefa,R,- - -,29,133,496,465,125,18,4,8,53,43,78,16,11,2,12,10,3,2,52.502,456,0.269,0.306,0.376,0.682,0.299,2.0487
Michael Harris II,L,ATL,23,108,470,440,116,14,3,16,56,48,94,23,10,6,6,4,0,3,55.053,8,0.264,0.304,0.418,0.722,0.312,2.0453
Xander Bogaerts,R,SDP,31,111,463,428,113,15,1,11,50,44,79,28,13,3,13,1,0,6,49.099,46,0.264,0.307,0.381,0.688,0.3,2.0265
Jake Meyers,R,HOU,28,148,513,461,101,20,3,13,51,61,117,35,11,3,17,10,3,4,45.945,8,0.219,0.286,0.36,0.646,0.285,2.0218
J.T. Realmuto,R,PHI,33,99,413,380,101,18,1,14,50,47,102,27,2,2,7,5,0,1,51.828,2,0.266,0.322,0.429,0.751,0.326,2.0169
Shea Langeliers,R,OAK,26,137,534,482,108,18,2,29,58,80,145,41,4,2,15,5,0,6,59.941,2,0.224,0.288,0.45,0.738,0.315,1.983
Francisco Alvarez,R,NYM,22,99,342,308,73,14,2,11,38,46,86,30,1,1,7,2,0,2,37.972,2,0.237,0.307,0.403,0.71,0.31,1.9681
Ryan McMahon,L,COL,29,153,645,567,137,28,0,20,68,65,185,69,4,6,9,3,0,4,74.474,5,0.242,0.325,0.397,0.722,0.315,1.963
Geraldo Perdomo,B,ARI,24,98,388,337,92,21,2,3,61,37,58,36,9,1,5,3,7,5,47.378,6,0.273,0.344,0.374,0.718,0.317,1.9531
Josh Rojas,L,SEA,30,142,476,422,95,19,2,8,48,31,108,46,10,4,6,3,1,2,45.583,547,0.225,0.304,0.336,0.64,0.286,1.9422
Yandy Diaz,R,TBR,32,145,621,563,158,31,1,14,55,65,95,50,0,0,12,4,0,4,80.232,3,0.281,0.341,0.414,0.755,0.331,1.9418
Randy Arozarena,R,- - -,29,154,648,549,120,33,0,20,77,60,169,73,20,10,7,22,0,4,76.444,78,0.219,0.332,0.388,0.72,0.32,1.9377
Victor Caratini,B,HOU,30,87,274,245,66,8,1,8,30,30,53,23,0,1,6,3,0,3,33.522,23,0.269,0.336,0.408,0.744,0.324,1.9223
Edmundo Sosa,R,PHI,28,90,274,249,64,12,4,7,39,31,66,13,7,1,5,8,1,2,33.469,645,0.257,0.313,0.422,0.735,0.318,1.9149
Spencer Horwitz,L,TOR,26,97,381,328,87,19,0,12,46,40,70,42,0,0,8,7,0,4,52.51,34,0.265,0.357,0.433,0.79,0.344,1.8791
Freddy Fermin,R,KCR,29,111,368,339,92,14,0,6,40,36,66,23,2,0,10,2,1,3,38.776,2,0.271,0.319,0.366,0.685,0.3,1.8747
Jose Siri,R,TBR,28,130,448,402,75,16,1,18,50,47,170,31,14,7,5,7,2,4,37.882,8,0.187,0.255,0.366,0.621,0.271,1.8727
CJ Abrams,L,WSN,23,138,602,541,133,29,6,20,79,65,128,40,31,12,4,16,1,4,76.586,6,0.246,0.314,0.433,0.747,0.322,1.8682
Bryson Stott,L,PHI,26,148,571,506,124,19,2,11,65,57,93,53,32,3,9,3,0,9,63.44,46,0.245,0.315,0.356,0.671,0.296,1.8586
Garrett Mitchell,L,MIL,25,69,224,196,50,12,3,8,33,21,71,25,11,4,1,1,2,0,33.446,89,0.255,0.342,0.469,0.811,0.351,1.8384
Travis d'Arnaud,R,ATL,35,98,341,307,73,16,0,15,39,48,89,24,1,0,8,6,0,4,40.229,2,0.238,0.302,0.436,0.738,0.319,1.8246
Colt Keith,L,DET,22,148,556,516,134,15,4,13,54,61,110,36,7,1,4,2,0,2,63.088,4,0.26,0.309,0.38,0.689,0.301,1.8028
Carson Kelly,R,- - -,29,91,313,281,67,9,1,9,32,37,55,25,0,0,6,6,0,1,33.385,2,0.238,0.313,0.374,0.687,0.304,1.7894
Gleyber Torres,R,NYY,27,154,665,587,151,26,0,15,80,63,136,65,4,3,6,3,2,8,77.987,4,0.257,0.33,0.378,0.708,0.313,1.7355
David Fry,R,CLE,28,122,392,335,88,18,1,14,44,51,84,42,4,1,13,9,0,4,53.327,3279,0.263,0.356,0.448,0.804,0.347,1.7245
Paul DeJong,R,- - -,30,139,482,445,101,17,0,24,54,56,156,23,2,2,9,9,0,5,51.119,65,0.227,0.276,0.427,0.703,0.302,1.7183
Lars Nootbaar,L,STL,26,109,405,348,85,18,3,12,39,45,79,52,7,3,10,1,1,3,50.611,978,0.244,0.342,0.417,0.759,0.331,1.7123
Ryan O'Hearn,L,BAL,30,142,494,443,117,21,3,15,60,59,69,46,3,1,7,2,0,3,64.859,397,0.264,0.334,0.427,0.761,0.33,1.6896
Ryan Jeffers,R,MIN,27,122,465,412,93,22,0,21,56,64,94,32,3,0,9,14,1,6,54.561,2,0.226,0.3,0.432,0.732,0.317,1.6672
David Hamilton,L,BOS,26,98,317,294,73,17,1,8,47,28,80,22,33,4,1,1,0,0,39.942,64,0.248,0.303,0.395,0.698,0.305,1.6528
Jose Trevino,R,NYY,31,73,234,209,45,5,0,8,26,28,41,20,1,0,12,2,1,2,19.226,2,0.215,0.288,0.354,0.642,0.284,1.6134
Bo Naylor,L,CLE,24,123,389,354,71,10,2,13,39,39,122,29,6,3,3,2,2,2,33.81,2,0.201,0.264,0.35,0.614,0.269,1.6038
J.P. Crawford,L,SEA,29,105,451,392,79,16,2,9,55,37,102,52,5,0,4,6,0,1,42.525,6,0.202,0.304,0.321,0.625,0.283,1.6004
Blake Perkins,B,MIL,27,121,434,383,92,13,2,6,54,43,108,42,23,5,3,3,0,6,45.632,8,0.24,0.316,0.332,0.648,0.288,1.5952
Mike Yastrzemski,L,SFG,33,140,474,428,99,16,9,18,60,57,124,38,3,2,5,6,1,1,57.608,98,0.231,0.302,0.437,0.739,0.319,1.5524
Sal Frelick,L,MIL,24,145,524,475,123,22,4,2,66,32,78,39,18,3,8,4,2,1,53.878,978,0.259,0.32,0.335,0.655,0.292,1.552
Kyle Higashioka,R,SDP,34,84,263,246,54,10,1,17,29,45,74,15,2,0,3,0,1,1,30.862,2,0.22,0.263,0.476,0.739,0.314,1.5481
Randal Grichuk,R,ARI,32,106,279,254,74,20,2,12,40,46,46,20,0,0,5,3,0,2,46.501,97,0.291,0.348,0.528,0.876,0.373,1.5359
Gavin Lux,L,LAD,26,139,487,439,110,24,2,10,59,50,110,44,5,2,8,2,0,2,55.042,4,0.251,0.32,0.383,0.703,0.31,1.529
Michael Massey,L,KCR,26,100,356,332,86,17,2,14,45,45,56,15,1,0,9,3,2,4,41.912,4,0.259,0.294,0.449,0.743,0.317,1.504
Ryan Mountcastle,R,BAL,27,124,507,473,128,30,2,13,54,63,114,27,3,0,13,1,0,6,60.066,3,0.271,0.308,0.425,0.733,0.316,1.4877
Trevor Larnach,L,MIN,27,112,400,355,92,17,0,15,59,52,89,40,4,1,12,3,0,2,51.252,79,0.259,0.338,0.434,0.772,0.336,1.4837
Vinnie Pasquantino,L,KCR,26,131,554,496,130,30,2,19,64,97,71,40,1,0,12,4,1,13,70.175,3,0.262,0.315,0.446,0.761,0.325,1.4727
